AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ FEARS OUR MIGHT!;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;;;;;;;x;;;
AI_FEARS_US_DESC1_LONG;Reports of rumours are coming in from our correspondent in $TAG_0_0$. An unnamed source informs that a series of meetings involving top military officers have taken place in their capital in the last few months. The top theme of these meetings involves a possible fictitious scenario where war is declared and our military invades them. Measures of counter-attack and, if needed, even guerrilla warfare methods were discussed. Apparently the top command of the $TAG_0_0_ADJ$ army is preparing for the worst. It seems we are feared by them!;;Gerüchte erreichen unseren Korrespondenten in $TAG_0_0$. Eine anonyme Quelle bestätigt, dass in den letzten Monaten mehrere Treffen mit hochrangigen Militäroffizieren in ihrer Hauptstadt stattfanden. Das Hauptthema dieser Treffen drehte sich um ein fiktionales Szenario der Kriegserklärung und einer Invasion durch unser Militär. Es wurden mögliche Gegenangriffe und sogar Guerillakämpfe diskutiert. Scheinbar bereitet sich die $TAG_0_0_ADJ$e Armee auf das Schlimmste vor. Sie scheinen Angst vor uns zu haben!;;;;;;;;x;;;
AI_FEARS_US_DESC1_MEDIUM;An unnamed source in $TAG_0_0$ reports that the government there is preparing for the worst. A fictitious scenario involving a war declaration by our country against them is deemed possible, and top military officers consider our military might frightening!;;Eine anonyme Quelle in $TAG_0_0$ meldet, dass sich die dortige Regierung auf das Schlimmste vorbereitet. Ein fiktionales Szenario einer Kriegserklärung durch unser Land wird für möglich gehalten, und ihre hochrangigen Militäroffiziere fürchten unsere militärische Stärke!;;;;;;;;x;;;
AI_FEARS_US_DESC1_SHORT;Reports are coming in from an unnamed source in $TAG_0_0$ of a series of military meetings in their capital. It seems they deem an invasion by our troops a serious possibility! ;;Eine anonyme Quelle in $TAG_0_0$ berichtet von einer Reihe von militärischen Treffen in ihrer Hauptstadt. Wie es scheint, halten sie eine Invasion durch unsere Truppen durchaus für möglich!;;;;;;;;x;;;
AI_FEARS_US_TITLE2;$TAG_0_0$ fears we are coming!;;$TAG_0_0$ fürchtet unseren Einmarsch!;;;;;;;;x;;;
AI_FEARS_US_DESC2_LONG;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! A detailed analysis of the chilly relations between our countries and a careful comparison of our relative military strengths led the editor to the conclusion that our countries might soon find themselves in a state of war, and when that day comes, $TAG_0_0$'s very existence might be threatened. The elite and the commoners alike, the citizens of $TAG_0_0$ demand their government to seek alliance with a greater power to diminish the unavoidable threat we are posing.;;Ein kürzlicher Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte ihre Nation in Aufruhr! Eine ausführliche Analyse der frostigen Beziehungen zwischen unseren Ländern mit einem Vergleich unserer militärischen Stärken brachte den Herausgeber zu dem Schluss, dass unsere Länder sich bald im Kriegszustand befinden könnten. Sollte dieser Tag kommen, wäre die Existenz $TAG_0_0$s angeblich gefährdet. Alle Bürger von $TAG_0_0$, Adel wie auch Bürgerliche, fordern ihre Regierung auf, ein Bündnis mit einer Großmacht einzugehen, um die Bedrohung, die wir darstellen, einzudämmen.;;;;;;;;x;;;
AI_FEARS_US_DESC2_MEDIUM;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! A detailed analysis of the chilly relations between our countries led the editor to the conclusion that absent new guarantees, our countries might soon find themselves in a state of war.;;Ein kürzlicher Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte ihre Nation in Aufruhr! Eine ausführliche Analyse der frostigen Beziehungen zwischen unseren Ländern brachte den Herausgeber zu dem Schluss, dass unsere Länder sich bald im Kriegszustand befinden könnten.;;;;;;;;x;;;
AI_FEARS_US_DESC2_SHORT;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! Analysis of chilly relations between our countries led the editor to the conclusion that war might be unavoidable.;;Ein Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte die Nation ihre Aufruhr! Die Analyse frostiger Beziehungen zw. unseren Ländern brachte sie zu dem Schluss, dass ein Krieg unausweichlich sei.;;;;;;;;x;;;
AI_FEARS_US_TITLE3;$TAG_0_0_ADJ$ insults!;;$TAG_0_0_ADJ$e Beleidigungen!;;;;;;;;x;;;
AI_FEARS_US_DESC3_LONG;Prejudice and hatred reign in $TAG_0_0$. The growing chorus of insults reached new lows on Monday as the $TAG_0_0_ADJ$ foreign minister slapped our ambassador on the lawn of our embassy in $TAG_0_0$. When asked for comment, our minister for foreign affairs said that this was 'More proof, as if any was needed, that they cannot be trusted to behave in a civilised manner. Savages and cads govern in $TAG_0_0$, and the sooner these wretches are rooted out the better'. Diplomatic channels remain open for now, but war may be inevitable.;;Vorurteile und Hass herrschen in $TAG_0_0$. Die Beleidigungen fanden am Montag einen neuen Tiefpunkt, als der $TAG_0_0_ADJ$e Außenminister unseren Botschafter auf dem Rasen unserer Botschaft in $TAG_0_0$ ohrfeigte. Auf Anfrage sagte unser Außenminister, dass dies 'weitere Beweise sind, falls wir noch welche brauchten, dass man von ihnen kein zivilisiertes Verhalten erwarten kann. Wilde und Proleten herrschen in $TAG_0_0$ und je eher wir sie ausmerzen, desto besser.' Diplomatische Kontakte werden weiterhin aufrechterhalten, doch Krieg scheint unvermeidbar.;;;;;;;;x;;;
AI_FEARS_US_DESC3_MEDIUM;Prejudice and hatred reign supreme in $TAG_0_0$. On Monday the $TAG_0_0_ADJ$ foreign minister slapped our ambassador. Our minister for foreign affairs said that 'savages and cads govern in $TAG_0_0$, and the sooner these wretches are rooted out, the better'.;;Vorurteile und Hass herrschen in $TAG_0_0$ vor. Am Montag gab der $TAG_0_0_ADJ$e Außenminister unserem Botschafter eine Ohrfeige. Unser Außenminister sagt, dass 'Wilde und Proleten in $TAG_0_0$ regieren, je eher wir sie ausmerzen, desto besser.';;;;;;;;x;;;
AI_FEARS_US_DESC3_SHORT;On Monday the $TAG_0_0_ADJ$ foreign minister slapped our ambassador. Savages and bounders govern in $TAG_0_0$, and the sooner these wretches are rooted out, the better.;;Am Montag gab der $TAG_0_0_ADJ$e Außenminister unserem Botschafter eine Ohrfeige. Wilde und Schurken regieren in $TAG_0_0$ und je eher wir sie ausmerzen, desto besser.;;;;;;;;x;;;
AI_FEARS_OTHER_TITLE1;The fears of $TAG_0_0$;;Angst in $TAG_0_0$;;;;;;;;x;;;
AI_FEARS_OTHER_DESC1_LONG;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! A detailed analysis of their chilly relations with $TAG_0_1$ and a comparison of their relative military strengths led the editor to the conclusion that both countries might soon find themselves in a state of war, and when that day comes, $TAG_0_0$'s very existence might be threatened. The elite and the commoners alike, the citizens of $TAG_0_0$ demand their government to seek alliances to diminish the unavoidable threat the $TAG_0_1_ADJ$ pose.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ und ein Vergleich der militärischen Stärken brachte den Herausgeber zu dem Schluss, dass beide Länder sich bald im Kriegszustand befinden könnten. Sollte dieser Tag kommen, wäre die Existenz $TAG_0_0$s gefährdet. Alle Bürger von $TAG_0_0$, Adel wie auch Bürgerliche, fordern ihre Regierung auf, Bündnisse einzugehen, um die $TAG_0_1_ADJ$e Bedrohung einzudämmen.;;;;;;;;x;;;
AI_FEARS_OTHER_DESC1_MEDIUM;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! A detailed analysis of their chilly relations with $TAG_0_1$ led the editor to the conclusion that absent new guarantees, both countries might soon find themselves in the state of war.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ brachte den Herausgeber zu dem Schluss, dass beide Länder sich bald im Kriegszustand befinden könnten.;;;;;;;;x;;;
AI_FEARS_OTHER_DESC1_SHORT;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! Analysis of their chilly relations with $TAG_0_1$ led to the conclusion that war might be unavoidable.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung beunruhigte ihre Nation! Eine ausführliche Analyse der frostigen Beziehungen mit $TAG_0_1$ deutet an, dass ein Krieg unvermeidlich sein könnte.;;;;;;;;x;;;
AI_FEARS_OTHER_TITLE2;The $TAG_0_0_ADJ$ fear;;Die $TAG_0_0_ADJ$e Angst;;;;;;;;x;;;
AI_FEARS_OTHER_DESC2_LONG;According to reports from the inner circles of the $TAG_0_0_ADJ$ government, the prevalent mood of all top officials is one of deep apprehension and fear. Many predict that rivalries between $TAG_0_1$ and them will spark an international conflict, one which $TAG_0_0$ might well lose. Therefore, it is rumoured they are considering the possibility that war might come to their doorstep, and are making concrete preparations should this happen. Fear seems to also be spreading to the population, who expect the worst: A cruel defeat.;;Laut Meldungen aus dem Führungszirkel der $TAG_0_0_ADJ$en Regierung, überwiegt in Regierungskreisen eine Stimmung der Sorge und Angst. Viele befürchten, dass die Rivalitäten mit $TAG_0_1$ einen internationalen Konflikt auslösen könnten, den $TAG_0_0$ sehr wohl verlieren könnte. Gerüchten zufolge wird die Möglichkeit des Krieges vor ihrer Tür erwogen und es werden entsprechende Vorbereitungen getroffen. Angst breitet sich auch in der Bevölkerung aus, die mit dem Schlimmsten rechnet: einer grausamen Niederlage.;;;;;;;;x;;;
AI_FEARS_OTHER_DESC2_MEDIUM;The mood of $TAG_0_0_ADJ$ officials is one of frightful apprehension when it comes to the actions of $TAG_0_1$. Being ever watchful of their actions, many fear that an eventual war between both countries will result in a cruel defeat to $TAG_0_0$.;;Die Stimmung unter $TAG_0_0_ADJ$en Offiziellen ist angesichts der Aktionen von $TAG_0_1$ von Angst und Sorge geprägt. Viele befürchten einen möglichen Krieg zwischen beiden Ländern, der mit der grausamen Niederlage von $TAG_0_0$ enden könnte.;;;;;;;;x;;;
AI_FEARS_OTHER_DESC2_SHORT;Through local press reports, it seems the $TAG_0_0_ADJ$ population and government are suffering from a widespread fear of $TAG_0_1$'s military power. More on page 4.;;Lokale Pressestimmen melden die weitverbreitete Angst der $TAG_0_0_ADJ$en Bevölkerung und Regierung vor der militärischen Stärke von $TAG_0_1$. Mehr dazu auf Seite 4.;;;;;;;;x;;;
AI_LOVES_US_TITLE1;$TAG_0_0$: Our best friend;;$TAG_0_0$: Unser bester Freund;;;;;;;;x;;;
AI_LOVES_US_DESC1_LONG;Have you ever considered fellow $TAG_0_0_ADJ$ citizens your best friends? Perhaps. However, it certainly seems they consider us as a target, not to fight against, but to befriend! A series of diplomats and envoys in our capital have been outspoken in their support for an alliance between our two great nations, should war break out. 'It is no wonder that we must pledge support to each other in these troubled times. When everyone around you is at each other's throats, a friend in need is a friend indeed!' said a diplomat in an interview.;;Sehen Sie $TAG_0_0_ADJ$e Bürger als Ihre besten Freunde an? Vielleicht. Scheinbar sehen diese uns jedoch als Ziel, doch nicht als Kriegsziel, sondern als Verbündete! Diplomaten und Abgesandte beschwören in unserer Hauptstadt ein Bündnis unserer beiden Großmächte herauf, falls ein Krieg ausbrechen sollte. 'In diesen schweren Zeiten ist es unsere Pflicht, uns gegenseitig zu unterstützen. Wenn sich alle um einen herum gegenseitig an die Kehle wollen, sind Freunde unerlässlich.' sagte ein Diplomat in einem Interview.;;;;;;;;x;;;
AI_LOVES_US_DESC1_MEDIUM;$TAG_0_0_ADJ$ diplomats in our capital are outspoken in their support for an alliance between our two great nations. According to governmental sources, relations between us and them are at an all time high and may even lead to a mutual pledge of military support soon.;;$TAG_0_0_ADJ$e Diplomaten betonen in unserer Hauptstadt ihren Wunsch eines Bündnisses unserer beiden Größmächte. Regierungskreise bezeichnen die Beziehungen als hervorragend, was bald zu einer gegenseitigen Verpflichtung zur militärischen Unterstützung führen könnte.;;;;;;;;x;;;
AI_LOVES_US_DESC1_SHORT;The relations between the $TAG_0_0_ADJ$ government and ours have never been better. Political analysts say that they consider us as a potential ally and friend for peace and war.;;Die Beziehungen zwischen der $TAG_0_0_ADJ$ Regierung und uns könnten besser nicht sein. Laut politischen Analysten sehen sie uns als möglichen Verbündeten und Freund im Krieg und Frieden.;;;;;;;;x;;;
AI_LOVES_US_TITLE2;$TAG_0_0$ stands with us!;;$TAG_0_0$ steht an unserer Seite!;;;;;;;;x;;;
AI_LOVES_US_DESC2_LONG;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of amiable relations between our countries. Calling on numerous examples of peaceful cooperation based on trust and friendship, the editor declared both our nations to stand as friends and brothers. Using words like 'trustworthy', 'reliable' and 'steadfast' to describe our relations, the newspaper encouraged $TAG_0_0$'s government to continue aligning themselves with our policies to pursue common interests and goals, and to strengthen mutual guarantees and assurances.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber uns als Freunde und Brüder. Mit Worten wie 'vertrauenswürdig', 'zuverlässig' und 'standhaft' umschreibt die Zeitung unsere Beziehungen und ruft die Regierung von $TAG_0_0$ dazu auf, diese weiter auszubauen, um gemeinsame Interessen und Ziele zu verfolgen und den gegenseitigen Rückhalt zu stärken.;;;;;;;;x;;;
AI_LOVES_US_DESC2_MEDIUM;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of amiable relations between our countries. Calling on numerous examples of peaceful cooperation based on trust and friendship, the editor declared both our nations to stand as friends and brothers.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber uns als Freunde und Brüder.;;;;;;;;x;;;
AI_LOVES_US_DESC2_SHORT;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of amiable relations between our nations. Editor encouraged their government to continue aligning themselves with our policies.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen zwischen unseren Ländern. Herausgeber ruft ihre Regierung dazu auf, diese weiter auszubauen.;;;;;;;;x;;;
AI_LOVES_US_TITLE3;$TAG_0_0$ knows its place!;;$TAG_0_0$ nicht übermütig!;;;;;;;;x;;;
AI_LOVES_US_DESC3_LONG;"Common sense is the order of the day in $TAG_0_0$, as their government and people continue to be enamoured with all things $OURCOUNTRY_ADJ$. In the political, military and cultural spheres, our obviously apparent superiority is readily acknowledged by the snivelling wretches. The $TAG_0_0_ADJ$ foreign minister, in a shameful attempt to ingratiate himself with our elites, said ""We welcome the paternal and guiding hand of $OURCOUNTRY_ADJ$. Long may our countries' friendship continue, to our mutual benefit"". Whether that will be the case remains to be seen.";;"Gesunder Menschenverstand herrscht in $TAG_0_0$, wo Regierung und Bevölkerung alles $OURCOUNTRY_ADJ$e hoch schätzen. Diese wehleidigen Schufte erkennen nur allzu gerne unsere offensichtliche Überlegenheit in allen politischen, militärischen und kulturellen Belangen an. Auf schamlose Weise biedert sich der $TAG_0_0_ADJ$e Außenminister unseren Eliten an und sagt ""Wir begrüßen die väterliche und wegweisende $OURCOUNTRY_ADJ$e Hand. Möge die Freundschaft unserer Länder ewig zum gegenseitigen Vorteil währen."" Es bleibt abzuwarten, ob dies der Fall sein wird.";;;;;;;;;;;
AI_LOVES_US_DESC3_MEDIUM;Common sense is the order of the day in the $TAG_0_0_ADJ$ capital, as their government and people continue to be enamoured with all things $OURCOUNTRY_ADJ$. In the political, military and cultural spheres, our obvious superiority is acknowledged by the wretches.;;Gesunder Menschenverstand herrscht in der $TAG_0_0_ADJ$en Hauptstadt, wo Regierung und Bevölkerung alles $OURCOUNTRY_ADJ$e hoch schätzen. Diese Schufte erkennen nur allzu gern unsere offensichtliche Überlegenheit in allen politischen, militärischen und kulturellen Belangen an.;;;;;;;;x;;;
AI_LOVES_US_DESC3_SHORT;The $TAG_0_0_ADJ$ government and people continue to be enamoured with $OURCOUNTRY$. In all spheres, our obvious superiority is readily acknowledged.;;$TAG_0_0_ADJ$e Regierung und Bevölkerung schätzen weiterhin alles $OURCOUNTRY_ADJ$e sehr. Nur allzu gern erkennen sie unsere offensichtliche Überlegenheit in allen Belangen an.;;;;;;;;x;;;
AI_LOVES_OTHER_TITLE1;$TAG_0_0$'s relations;;$TAG_0_0$s Beziehungen;;;;;;;;x;;;
AI_LOVES_OTHER_DESC1_LONG;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of their amiable relations with $TAG_0_1$. Calling on numerous examples of peaceful cooperation based on trust and friendship, the editor declared both nations to stand as friends and brothers. Using words like 'trustworthy', 'steadfast' and 'reliable' to describe their relations, the newspaper encouraged $TAG_0_0$'s government to continue aligning themselves with $TAG_0_1$'s policies to pursue common interests, and to strengthen mutual guarantees and assurances.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen mit $TAG_0_1$. Unter Aufzählung mehrerer Beispiele friedlicher, auf Vertrauen und Freundschaft basierender Kooperation, sieht der Herausgeber beide Nationen als Freunde und Brüder. Mit Worten wie 'vertrauenswürdig', 'zuverlässig' und 'standhaft' umschreibt die Zeitung die Beziehungen und ruft die Regierung von $TAG_0_0$ dazu auf, diese weiter mit $TAG_0_1$ auszubauen, um gemeinsame Interessen zu verfolgen und den gegenseitigen Rückhalt zu stärken.;;;;;;;;x;;;
AI_LOVES_OTHER_DESC1_MEDIUM;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of their amiable relations with $TAG_0_1$. Calling on numerous examples of peaceful cooperation based on trust and friendship, the editor declared both nations to stand as friends and brothers.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der freundschaftlichen Beziehungen mit $TAG_0_1$. Unter Aufzählung mehrerer Beispiele friedlicher Kooperation, sieht der Herausgeber beide Nationen als Freunde und Brüder.;;;;;;;;x;;;
AI_LOVES_OTHER_DESC1_SHORT;An article in a $TAG_0_0_ADJ$ newspaper paints a picture of their great relations with $TAG_0_1$. The editor called on the league with $TAG_0_1$ to be maintained.;;Ein Beitrag in einer $TAG_0_0_ADJ$en Zeitung zeichnet ein Bild der guten Beziehungen mit $TAG_0_1$. Der Herausgeber empfiehlt, den Bund mit $TAG_0_1$ aufrecht zu erhalten.;;;;;;;;x;;;
AI_LOVES_OTHER_TITLE2;$TAG_0_0_ADJ$-$TAG_0_1_ADJ$ relations;;$TAG_0_0_ADJ$-$TAG_0_1_ADJ$e Beziehungen;;;;;;;;x;;;
AI_LOVES_OTHER_DESC2_LONG;Although history might have put our two countries at odds sometimes, it is clear that fate herself decided to bring us together!', said the $TAG_0_0_ADJ$ government spokesman yesterday in their nation's capital, referring to the recent increase of cooperation with $TAG_0_1$. The abolition of some custom duties between both lands last year and the frequent visits of ambassadors from $TAG_0_0$ seem to show that a guarantee of friendship through a military alliance is indeed a solid possibility.;;Mit Referenz auf die wachsende Kooperation mit $TAG_0_1$ sagte der Sprecher der $TAG_0_0_ADJ$en Regierung gestern in ihrer Hauptstadt, dass 'es klar ist, dass das Schicksal uns zusammengeführt hat, auch wenn es in der Geschichte beider Länder manchmal zu Streitigkeiten gekommen ist!'. Die Abschaffung einiger Zoll-Verpflichtungen zwischen beiden Ländern im vergangenen Jahr und die zahlreichen Besuche des Botschafters von $TAG_0_0$ deuten an, dass eine Freundschaft im Rahmen eines militärischen Bündnisses durchaus möglich ist.;;;;;;;;x;;;
AI_LOVES_OTHER_DESC2_MEDIUM;Smiling $TAG_0_0_ADJ$ diplomats were seen yesterday at a summit in the $TAG_0_1_ADJ$ capital. '$TAG_0_1$ is our natural ally', mentioned one $TAG_0_0_ADJ$ official. Political analysts predict an alliance pact might be signed soon.;;Lächelnde $TAG_0_0_ADJ$e Diplomaten wurden gestern auf einem Gipfeltreffen in der $TAG_0_1_ADJ$en Hauptstadt gesichtet. '$TAG_0_1$ ist unser natürlicher Verbündeter', sagte ein $TAG_0_0_ADJ$er Offizieller. Politische Analysten sehen die Unterzeichnung eines Bündnisabkommens voraus.;;;;;;;;x;;;
AI_LOVES_OTHER_DESC2_SHORT;Prosperity for the Future with our $TAG_0_1_ADJ$ brothers!' is $TAG_0_0_ADJ$ ruling party's newest slogan. Many say this is an indication of a future military alliance.;;Die neueste Devise der führenden $TAG_0_0_ADJ$en Partei lautet: 'Wohlstand für die Zukunft mit unseren $TAG_0_1_ADJ$en Brüdern!'. Viele sehen Anzeichen eines zukünftigen Militär-Bündnisses.;;;;;;;;x;;;
OTHER_NEW_GP_TITLE1;The Rise of $TAG_0_1$;;Der Aufstieg von $TAG_0_1$;;;;;;;;x;;;
