#;;;;;;;;;;;;;x;;;
WARSUBSIDIES_DI;Offer of Warsubsidies;Offre d'indemnités de guerre;Angebot von Kriegssubventionen;;Oferta de subsidios de guerra;;;;;;;;x;;;
CANCEL_WARSUBSIDIES_DI;Cancellation of Warsubsidies;Annulation des indemnités de guerre;Einstellung von Kriegssubventionen;;Cancelación de subsidios de guerra;;;;;;;;x;;;
ASKMILITARYACCESS_DI;Request for Military Access;Demande d'accès militaire;Anfrage nach Militärzugang;;Solicitud de acceso militar;;;;;;;;x;;;
CANCELASKMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x;;;
GIVEMILITARYACCESS_DI;Offer of Military Access;Offre d'accès militaire;Angebot von Militärzugang;;Oferta de acceso militar;;;;;;;;x;;;
CANCELGIVEMILITARYACCESS_DI;Cancellation of Military Access;Annulation d'un accès militaire;Einstellung von Militärzugang;;Cancelación de acceso militar;;;;;;;;x;;;
ALLIANCE_DI;Alliance Offer;Offre d'alliance;Bündnisangebot;;Oferta de alianza;;;;;;;;x;;;
CANCELALLIANCE_DI;Alliance Broken;Alliance rompue;Bündnis gebrochen;;Alianza disuelta;;;;;;;;x;;;
CALLALLY_DI;Call Ally;Appel à un allié;Bündnisparter zu Hilfe rufen;;Conseguir aliado;;;;;;;;x;;;
DISCREDIT_DI;Discredit;Discréditer;In Verruf bringen;;Desprestigio;;;;;;;;x;;;
EXPELADVISORS_DI;Expulsion of Advisors;Expulsion de conseillers;Ausweisung von Beratern;;Expulsión de consejeros;;;;;;;;x;;;
BANEMBASSY_DI;Banning of Embassy;Fermeture d'ambassade;Botschaftsverbannung;;Cierre de embajada;;;;;;;;x;;;
INCREASEOPINION_DI;Opinion Increase;Opinion en hausse;Meinungssteigerung;;Mejora de opinión;;;;;;;;x;;;
DECREASEOPINION_DI;Opinion Decrease;Opinion en baisse;Meinungsverringerung;;Merma de opinión;;;;;;;;x;;;
ADDTOSPHERE_DI;Add to Sphere;Ajouter à la sphère;Zu Einflusssphäre hinzufügen;;Añadir a la esfera;;;;;;;;x;;;
REMOVEFROMSPHERE_DI;Remove From Sphere;Retirer de la sphère;Aus Einflusssphäre entfernen;;Eliminar de la esfera;;;;;;;;x;;;
INCREASERELATION_DI;Increase Relation;Améliorer les relations;Beziehung verbessern;;Mejorar relación;;;;;;;;x;;;
DECREASERELATION_DI;Decrease Relation;Détériorer les relations;Beziehung verschlechtern;;Empeorar relación;;;;;;;;x;;;
GUNBOAT_DI;Gunboat Diplomacy;Diplomatie de la canonnière;Kanonenbootdiplomatie;;Diplomacia de las cañoneras;;;;;;;;x;;;
WAR_DI;War;Guerre;Krieg;;Guerra;;;;;;;;x;;;
WARGOAL_DI;Adding of Wargoal;Ajout d'un objectif de guerre;Hinzufügen von Kriegszielen;;Adición de objetivo bélico;;;;;;;;x;;;
PEACE_DI;Peace Offer;Offre de paix;Friedensangebot;;Oferta de paz;;;;;;;;x;;;
TOPBAR_LEADERSHIP_MAX;You have already reached the maximum storage of §Y$MAX$§W leadership and no new leadership will be accumulated.\n;Vous avez atteint le nombre maximum de §Y$MAX$§W points de commandement et aucun nouveau point ne sera accumulé.\n;Sie haben bereits die maximale Anzahl von §Y$MAX$§W Anführerpunkten erreicht - Sie können keine weiteren aufsparen.\n;;Ya has alcanzado el nivel máximo de liderazgo, §Y$MAX$§W, y no se acumulará más.\n;;;;;;;;x;;;
IS_MOBILIZED_IRO;(Reserves are Mobilized);(Les réserves sont mobilisées);(Reserven sind mobilisiert);;(Las reservas están movilizadas);;;;;;;;x;;;
ADD_CRIME;Gain §Y$NAME$§W.\n;Obtention de §Y$NAME$§W.\n;Erhaltung von §Y$NAME$§W.\n;;Obtienes §Y$NAME$§W.\n;;;;;;;;x;;;
TOPBAR_WAR_PLUS;And their satellites and dominions.\n;et leurs satellites et dominions.\n;und ihre puppetnstaaten und Dominions.\n;;Y sus satélites y dominios.\n;;;;;;;;x;;;
CANTBUILD_FORCEDISARM;We can't build new military units, as we are under a peace treaty that has forced us to disarm.;Le traité de paix qui nous a contraints à nous désarmer ne nous permet pas de construire de nouvelles unités.;Wir können keine neuen Militäreinheiten bauen, da uns ein Friedensvertrag zur Abrüstung zwingt.;;No podemos construir nuevas unidades militares, ya que estamos sometidos a un tratado de paz que nos obliga al desarme.;;;;;;;;x;;;
SOME_LIFE_NEEDS;Life Needs partly fulfilled;Besoins vitaux partiellement satisfaits;Grundbedürfnisse teilweise;;Necesidades básicas parcialmente cubiertas;;;;;;;;x;;;
TOPBAR_AVG_CHANGE;We estimate that it will change by $VAL$§W during the next month.;Nous estimons que cela changera à hauteur de $VAL$§W au cours du mois prochain.;Wir vermuten eine Veränderung von $VAL$§W für den nächsten Monat.;;Calculamos que cambiará en $VAL$§W durante el próximo mes.;;;;;;;;;x;;
TECH_DAILY_RESEARCHPOINTS_BASE_TOOLTIP;Daily base research points: §Y$VALUE$§W;Points de recherche de base quotidiens : §Y$VALUE$§W;Tägliche Basis-Forschungspunkte: §Y$VALUE$§W;;Base diaria de puntos de investigación: §Y$VALUE$§W;;;;;;;;;x;;
TECH_DAILY_RESEARCHPOINTS_TOTAL_TOOLTIP;Daily research points: §G+$VALUE$§W;Points de recherche quotidiens : §G+$VALUE$§W;Tägliche Forschungspunkte: §G+$VALUE$§W;;Puntos de investigación diarios: §G+$VALUE$§W;;;;;;;;;x;;
TECH_DAILY_RESEARCHPOINTS_TOOLTIP;$POPTYPE$ provide §G$VALUE$§W research points.\n (§Y$FRACTION$%§W of the population, $OPTIMAL$% is optimal.);$POPTYPE$ donnent §G$VALUE$§W points de recherche.\n (§Y$FRACTION$%§W de la population, $OPTIMAL$% de manière optimale);$POPTYPE$ erbringen §G$VALUE$§W Forschungspunkte.\n (§Y$FRACTION$%§W von der Bevölkerung - $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W puntos de investigación.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;x;;;
average_literacy;Literacy;Alphabétisation;Alphabetisierung;;Alfabetización;;;;;;;;x;;;
MODIFIER_RESEARCH_POINTS;Research Points;Points de recherche;Forschungspunkte;;Puntos de investigación;;;;;;;;x;;;
gas;Gas Attack;Attaque aux gaz;Gasangriff;;Ataque de gases;;;;;;;;x;;;
COMBAT_GAS;Gas attacks while the opponent lacks the technology to defend against it may be devastating.;Les attaques aux gaz, lorsque l'adversaire ne dispose pas de la technologie pour s'en défendre, peuvent être dévastatrices.;Gasangriffe gegen Gegner, deren Technologie noch nicht zu deren Abwehr ausreicht, können verheerend ausfallen.;;Los ataques con gas, cuando el oponente carece de la tecnología apropiada para defenderse de ellos, pueden ser devastadores.;;;;;;;;x;;;
MAY_GAS_ATTACK;Can use Gas Attack\n;Peut utiliser les attaques aux gaz\n;Kann Gasangriff einsetzen.\n;;Puede usar ataque de gases\n;;;;;;;;x;;;
MAY_GAS_DEFEND;Can defend against Gas Attack\n;Peut se défendre des attaques aux gaz\n;Kann sich gegen Gasangriff verteidigen.\n;;Puede defenderse de ataques de gases\n;;;;;;;;x;;;
IMMIGRANTS_FROM;There were §G$VAL$§W immigrants from $NAME$.;Il y avait §G$VAL$§W immigrants de $NAME$.;Es gab §G$VAL$§W Immigranten aus $NAME$.;;Había §G$VAL$§W inmigrantes procedentes de $NAME$.;;;;;;;;x;;;
EMIGRANTS_TO;§R$VAL$§W emigrated to $NAME$.;§R$VAL$§W ont émigré vers $NAME$.;§R$VAL$§W emigrierten nach $NAME$.;;§R$VAL$§W emigrados a $NAME$.;;;;;;;;x;;;
PW_ALL_FOCUSES_USED;All national focuses are already used.;Toutes les causes nationales ont déjà été utilisées.;Alle nationalen Fokusse sind bereits eingesetzt.;;Ya están en uso todos los objetivos nacionales.;;;;;;;;x;;;
HAS_NO_FACTORIES;Has NO factories.\n;Ne dispose d'AUCUNE usine.\n;Hat KEINE Fabriken.\n;;NO tiene fábricas.\n;;;;;;;;x;;;
HAS_FACTORIES;Has factories.\n;Dispose d'usines.\n;Hat Fabriken.\n;;Tiene fábricas.\n;;;;;;;;x;;;
RETREAT_DELAY_IRO;There is still §Y$VAL$§W day(s) left until a voluntary retreat can be made.;Il reste §Y$VAL$§W jour(s) jusqu'à ce qu'une retraite volontaire puisse intervenir.;Ein freiwilliger Rückzug ist erst in §Y$VAL$§W Tag(en) möglich.;;Aún falta(n) §Y$VAL$§W día(s) hasta que se pueda realizar una retirada voluntaria.;;;;;;;;x;;;
PW_CANTCOLONIZE;Not possible to colonize here yet.;Impossible de coloniser ici pour le moment.;Kolonisierung hier noch nicht möglich.;;Aquí no se puede colonizar todavía.;;;;;;;;x;;;
IS_COLONIAL_STATE_POPVIEW;Colonial State;État colonial;Kolonialstaat;;Estado colonial;;;;;;;;x;;;
CULTURE_IS_NOT;Culture is NOT;La culture n'est PAS;Kultur ist NICHT;;La cultura NO es;;;;;;;;x;;;
CULTURE_IS;Culture is;La culture est;Kultur ist;;La cultura es;;;;;;;;x;;;
INVALID_WARTARGET_TROOPS_IN_THEM;We have troops inside their borders.;Nous avons des troupes à l'intérieur de leurs frontières.;Wir haben Truppen innerhalb ihrer Grenzen.;;Tenemos tropas dentro de sus fronteras.;;;;;;;;x;;;
WEX_EFFECTS;Current Effects;Effets actuels;Aktuelle Effekte;;Efectos en curso;;;;;;;;x;;;
NOBODY_CAN_VOTE_HERE;Nobody is allowed the vote.;Personne n'est autorisé à voter.;Niemand darf wählen.;;Nadie puede votar.;;;;;;;;x;;;
NOT_ABLE_TO_REINFORCE;This pop is now too small to reinforce this brigade.;Ce POP est trop petit pour renforcer ce régiment.;Diese Bev ist zur Verstärkung dieser Brigade nun zu klein.;;Esta POB es demasiado pequeña para reforzar esta brigada.;;;;;;;;;x;;
POP_SIZE_UNITVIEW;This pop has §Y$VAL$§W people and can support §Y$ALLOWED$§W brigades. Currently it has §Y$CURRENT$§W brigades..;Ce POP dispose de §Y$VAL$§W personnes et peut soutenir §Y$ALLOWED$§W régiment(s). Il dispose actuellement de §Y$CURRENT$§W régiment(s).;Diese Bev besteht aus §Y$VAL$§W Menschen und kann §Y$ALLOWED$§W Brigaden unterstützen. Derzeit hat sie §Y$CURRENT$§W Brigaden.;;Esta POB cuenta con §Y$VAL$§W personas y puede mantener §Y$ALLOWED$§W brigadas. Actualmente tiene §Y$CURRENT$§W brigadas.;;;;;;;;;x;;
MAX_REINF_UNITVIEW;Reinforcing at §G100%§W speed.;Renfort à une vitesse de §G100%§W.;Verstärkung trifft mit §G100%§W Geschwindigkeit ein.;;Refuerzo a un §G100%§W de velocidad.;;;;;;;;;x;;
POP_IMPACT_UNITVIEW;Due to losses in the reserves, this unit reinforces at §Y$VAL$%§W speed.;Compte tenu des pertes subies dans les réserves, cette unité se renforce à une vitesse de §Y$VAL$%§W.;Aufgrund von Verlusten bei den Reservetruppen wird diese Einheit mit §Y$VAL$%§W Geschwindigkeit verstärkt.;;Debido a las pérdidas de las reservas, esta unidad se refuerza a un §Y$VAL$%§W de velocidad.;;;;;;;;;x;;
MOB_IS_REINFORCE;Mobilized units reinforce at §Y50%§W speed.;Les unités mobilisées se renforcent à une vitesse de §Y50%§W.;Mobilisierte Einheiten werden mit §Y50%§W Geschwindigkeit verstärkt.;;Las unidades movilizadas se refuerzan a un §Y50%§W de velocidad.;;;;;;;;x;;;
EVTNAME60120;Increasing Federalism;Fédéralisme en hausse;Steigender Föderalismus;;Federalismo en auge;;;;;;;;;x;;
EVTDESC60120;A sentiment of cultural nationalism is sweeping $COUNTRY$, as people begin to clamor for unification with our cultural brethren in $CULTURE_GROUP_UNION$. We have little reason to doubt that they would object to a petition of annexation.;Un sentiment de nationalisme culturel déferle sur $COUNTRY$ et les gens commencent à appeler à l'unification avec nos frères culturels de $CULTURE_GROUP_UNION$. Nous avons peu de raison de douter qu'ils s'opposeront à une pétition d'annexion.;In der gesamten Bevölkerung von $COUNTRY$ macht sich kultureller Nationalismus breit. Das Volk schreit nach der Vereinigung mit unseren kulturellen Brüdern in $CULTURE_GROUP_UNION$. Wir haben kaum Zweifel daran, dass sie einer Anschlusspetition zustimmen würden.;;Un sentimiento de nacionalismo cultural está recorriendo $COUNTRY$. La gente empieza a demandar la unificación con nuestros parientes culturales del estado conocido como $CULTURE_GROUP_UNION$. No creemos que pudieran oponerse a una petición de anexión.;;;;;;;;;;;x
EVTOPTA60120;Let's do it;Allons-y;Machen wir;;Hagámoslo.;;;;;;;;;x;;
EVTNAME60130;$FROMCOUNTRY$ Petitions for Annexation;$FROMCOUNTRY$ Pétitions d'annexion;$FROMCOUNTRY$s Anschlusspetition;;Peticiones de anexión desde $FROMCOUNTRY$;;;;;;;;;x;;
EVTDESC60130;Following a surge in popular nationalist sentiments, the $FROMCOUNTRY_ADJ$ government has placed a formal request with our authorities in $CAPITAL$ that they be allowed to join $COUNTRY$ in perpetual union. There seems to be little reason to oppose this move.;À la suite d'une montée de sentiments nationalistes, le gouvernement $FROMCOUNTRY_ADJ$ a formulé une demande officielle auprès de nos autorités de $CAPITAL$ pour les autoriser à rejoindre $COUNTRY$ dans le cadre d'une union perpétuelle. Il n'existe apparemment aucune raison de s'opposer à ce mouvement.;Nach einem Aufwogen nationalistischer Strömungen in der Bevölkerung hat die $FROMCOUNTRY_ADJ$e Regierung unseren Behörden in $CAPITAL$ einen formalen Antrag überreicht, sich $COUNTRY$ in einer in dauerhaften Union anschließen zu dürfen. Es bestehen wohl kaum Gründe, sich diesem Schritt zu verweigern.;;Atendiendo al auge de sentimientos nacionalistas en la población, el gobierno de $FROMCOUNTRY$ ha cursado una solicitud formal a nuestras autoridades en $CAPITAL$ que le permitiría unirse a $COUNTRY$ de forma permanente. No parece haber razón para oponerse a tal maniobra.;;;;;;;;;x;;
EVTOPTA60130;Let's do it;Allons-y;Machen wir;;Hagámoslo.;;;;;;;;;x;;
EVTOPTB60130;By god no, $FROMCOUNTRY_ADJ$ scum;Dieu du ciel, pas cette racaille $FROMCOUNTRY_ADJ$;$FROMCOUNTRY_ADJ$er Abschaum!;;No, por Dios, escoria $FROMCOUNTRY_ADJ$ ;;;;;;;;;x;;
ATPEACE;At Peace;En paix;Im Frieden;;En paz;;;;;;;;;x;;
NORMAL_WAR_RUDEBOI_NAME;$ORDER$$FIRST$ War of $SECOND$ Containment;$ORDER$$FIRST$ guerre de confinement $SECOND$;$ORDER$$FIRST$er Krieg zur $SECOND$en Beherrschung;;$ORDER$ Guerra $FIRST$ de contención $SECOND$;;;;;;;;;x;;
AGRESSION_WAR_RUDEBOI_NAME;$ORDER$$FIRST$ War of $SECOND$ Containment;$ORDER$$FIRST$ guerre de confinement $SECOND$;$ORDER$$FIRST$er Krieg zur $SECOND$en Beherrschung;;$ORDER$ Guerra $FIRST$ de contención $SECOND$;;;;;;;;;x;;
rude_boy;Containment;Confinement;Beherrschung;;Contención;;;;;;;;;x;;
rude_boy_desc;Force another §Ycountry§W, which has thrown off all pretenses of civilized conduct in the realm of international affairs, to vastly reduce its ambitions.;Obligez un autre §Ypays§W, qui s'est débarrassé de tout faux-semblant de conduite civilisée au royaume des affaires internationales, à limiter considérablement ses ambitions.;Zwingen Sie ein anderes §YLand§W, das bezüglich internationaler Beziehungen sämtliche Vortäuschungen zivilisierten Benehmens über Bord geworfen hat, seine Ambitionen drastisch zu reduzieren.;;Obliga a otro §Ypaís§W, que ha renunciado a toda pretensión de conducta civilizada en el campo de los asuntos internacionales, a reducir de forma drástica sus ambiciones.;;;;;;;;;x;;
rude_boy_setup;Contain $RECIPIENT$ by reducing their territory, prestige and military.;Confinez $RECIPIENT$ en réduisant son territoire, son prestige et son armée.;Halten Sie $RECIPIENT$ in Schach, indem Sie ihr Territorium, Prestige und Militär reduzieren.;;Contención de $RECIPIENT$ por reducción de su territorio, su prestigio y su ejército.;;;;;;;;;x;;
rude_boy_short;Contain $RECIPIENT$;Contenir $RECIPIENT$;Halten Sie $RECIPIENT$ in Schach.;;Contención de $RECIPIENT$;;;;;;;;;x;;
POP_DETAILS_EXPENSES;Expenses:;Dépenses :;Ausgaben:;;Gastos:;;;;;;;;;x;;
CONFIRM_CREATE_VASSAL;Release Nation;Libérer une nation;Nation entlassen;;Liberar nación;;;;;;;;;x;;
CONFIRM_CREATE_VASSAL_DESC;Do you want to release §Y$COUNTRY$§W as a §Y$TYPE$§W?\n §Y$COUNTRY$§W will receive the following §Y$NUM$§W province(s): §Y$PROVINCES$§W.;Souhaitez-vous libérer §Y$COUNTRY$§W en tant que §Y$TYPE$§W ?\n §Y$COUNTRY$§W recevra la(les) §Y$NUM$§W province(s) suivante(s) : §Y$PROVINCES$§W.;Möchten Sie §Y$COUNTRY$§W als §Y$TYPE$§W entlassen?\n §Y$COUNTRY$§W würde folgende §Y$NUM$§W Provinz(en) erhalten: §Y$PROVINCES$§W.;;¿Quieres liberar a §Y$COUNTRY$§W como §Y$TYPE$§W?\n §Y$COUNTRY$§W recibirá la(s) siguiente(s) §Y$NUM$§W provincia(s): §Y$PROVINCES$§W.;;;;;;;;;x;;
egyptian_excavations;Egyptian Excavations;Fouilles égyptiennes;Ägyptische Ausgrabungen;;Excavaciones egipcias;;;;;;;;;x;;
egyptian_excavations_desc;Our country is spearheading archeological excavations in The Valley of the Kings.;Notre pays mène des fouilles archéologiques dans la vallée des rois.;Unser Land führt die archäologischen Ausgrabungen im Tal der Könige.;;Nuestro país está llevando a cabo excavaciones arqueológicas en el Valle de los Reyes.;;;;;;;;;x;;
POP_DETAILS_EXPENSES;Expenses:;Dépenses :;Ausgaben:;;Gastos:;;;;;;;;;x;;
red_shirts_title;Camiciee Rosse;Camicie rosse;Camicie Rosse;;Camisas rojas;;;;;;;;;x;;
red_shirts_name;Garibaldi's Redshirts;Chemises rouges de Garibaldi;Garibaldis Rothemden;;Los Camisas rojas de Garibaldi;;;;;;;;;x;;
red_shirts_desc;The Redshirts (Camicie rosse) was the name given to the volunteers who served under Giuseppe Garibaldi during his struggles to forge a nation state out of the many splintered Italian states, thus aptly named on account of the red shirts that Garibaldi and his men had taken to wearing. The charismatic Garibaldi, vastly popular both at home and abroad, and generally seen as a freedom fighter, was instrumental in securing Italian Unification under the Sardinian Crown. These Italian Pan-Nationalists fight for the Unification of Italy.;Le nom de Chemises rouges (Camicie rosse, en italien) a été donné aux volontaires qui ont servi sous Giuseppe Garibaldi afin de créer un État-nation réunissant les nombreux États italiens. Ce nom vient des chemises rouges que portaient Garibaldi et ses hommes. Le charismatique Garibaldi, célèbre en Italie comme à l'étranger et perçu comme un défenseur de la liberté, a contribué à asseoir l'unification italienne sous la couronne sarde. Ces pan-nationalistes italiens luttent pour l'unification de l'Italie.;Die Rothemden (Camicie rosse) waren Freiwillige, die unter Giuseppe Garibaldi dienten, als dieser darum kämpfte, die vielen italienischen Splitterstaaten zu einem Nationalstaat zu vereinen. Ihren Namen bekamen sie durch die roten Hemden, die Garibaldi und seine Männer trugen. Der charismatische und national wie international beliebte Garibaldi, der im Allgemeinen als Freiheitskämpfer angesehen wird, war maßgeblich an der italienischen Vereinigung unter der sardinischen Krone beteiligt. Diese italienischen Pan-Nationalisten kämpfen für die Vereinigung Italiens.;;Los Camisas rojas (Camicie rosse) eran los voluntarios que sirvieron a las órdenes de Giuseppe Garibaldi en su lucha por forjar un estado nación a partir de la gran fragmentación de estados italianos. Su nombre se debía a los blusones rojos que Garibaldi y sus hombres habían escogido como vestimenta. El carismático Garibaldi, muy popular tanto en su país como en el extranjero, y considerado por lo general como un luchador por la libertad, fue decisivo a la hora de afianzar la unificación italiana bajo la corona de Cerdeña. Estos pan-nacionalistas italianos lucharon por la unificación de Italia.;;;;;;;;;x;;
red_shirts_army;Redshirt Expedition of the Thousand;Expédition des Chemises rouges des Mille;Rothemden-Expedition der Tausend;;Expedición de los mil Camisas rojas;;;;;;;;;x;;
EVTNAME11103;Expedition of The Thousand!;Expédition des Mille;Expedition der Tausend!;;¡La expedición de los mil!;;;;;;;;;x;;
